Tag,H2.2008,H1.2009,H2.2009,H1.2010,H2.2010,H1.2011,H2.2011,H1.2012,H2.2012,H1.2013,H2.2013,H1.2014,H2.2014,H1.2015,H2.2015,H1.2016,H2.2016,H1.2017,H2.2017,H1.2018,H2.2018,H1.2019,H2.2019,TopicNumber,Propensity
kineticjs,0,0,0,0,0,0,2,77,291,510,422,495,208,55,35,9,5,10,2,1,0,4,1,topic_1446,0.15808687
shoulda,3,10,15,35,32,22,21,14,18,33,34,24,17,12,31,20,8,9,6,7,3,7,0,topic_811,0.0315119
facebook-android-sdk,0,0,0,2,1,19,37,78,143,258,244,194,107,196,140,85,63,77,60,34,33,23,10,topic_504,0.15168634
jquery-templates,0,0,0,0,52,168,169,103,69,56,36,17,18,9,17,16,5,5,2,6,3,1,0,topic_341,0.120289855
bytecode,13,32,39,46,54,89,90,111,100,146,146,100,89,102,128,103,93,84,77,101,50,68,25,topic_1139,0.15675
rhino-mocks,36,88,91,110,112,108,124,107,60,67,62,31,31,36,31,28,26,18,9,10,9,12,2,topic_856,0.2831921
android-toolbar,0,0,0,0,0,0,0,0,0,0,0,0,178,401,405,464,310,210,202,159,182,132,56,topic_1049,0.06372862
hybris,0,0,0,0,0,0,1,0,5,2,16,30,38,62,48,79,97,165,105,190,204,140,60,topic_144,0.09639961
sql-server-2012,3,4,0,0,3,9,20,161,472,843,1121,1501,1339,1525,1439,1413,1360,1181,986,830,715,577,150,topic_188,1.0
wso2-am,0,0,0,0,0,0,0,0,22,21,26,47,73,111,150,273,337,309,149,148,148,186,40,topic_1052,0.18431301
android-4.2-jelly-bean,0,0,0,0,0,0,0,3,263,253,125,54,22,31,19,19,15,9,7,4,7,4,0,topic_1294,0.012044172
sql-server-2014,0,0,0,0,0,0,0,1,1,0,16,46,173,347,453,561,595,489,461,404,318,271,84,topic_163,0.45051304
sql-server-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,90,168,216,256,92,topic_81,0.2857143
sql-server-2016,1,0,1,2,0,0,0,1,0,0,0,0,0,1,31,104,321,399,520,435,359,363,122,topic_1071,0.023163699
text-classification,0,0,0,0,1,0,0,0,0,4,16,53,45,56,69,71,95,112,102,118,130,168,35,topic_620,0.12456345
iphone-privateapi,0,2,8,7,10,18,17,35,46,60,55,51,36,32,27,26,17,21,17,4,4,4,1,topic_618,0.01247817
project-management,168,174,191,166,158,110,64,82,65,64,51,36,39,29,18,11,25,13,8,20,12,4,3,topic_1390,0.12721744
pytorch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,285,547,923,1489,557,topic_1460,0.3571754
spreadsheet,12,28,26,37,54,64,79,78,121,145,131,140,137,177,150,146,129,184,171,160,170,128,42,topic_1124,0.38534933
jcr,2,2,4,9,17,30,18,37,35,50,55,64,56,77,48,41,36,26,29,24,22,21,3,topic_1083,0.021505047
live-wallpaper,0,0,0,2,30,72,69,91,84,82,68,53,31,24,27,13,4,6,5,9,12,6,10,topic_1410,0.13706487
cmusphinx,1,0,3,3,1,6,18,25,39,46,60,36,67,42,61,60,46,46,28,24,22,21,6,topic_1423,0.06616905
webserver,67,75,113,147,221,287,279,345,797,514,417,404,351,331,318,374,320,298,282,277,303,288,117,topic_638,0.11594203
reverse-geocoding,0,1,7,20,27,28,40,52,37,43,54,43,49,58,38,36,35,38,34,32,31,34,19,topic_694,0.075981386
paypal,12,44,119,220,219,448,581,750,837,1584,1661,1611,1369,1422,1470,1435,1000,1026,786,517,537,614,197,topic_1238,0.76779693
perforce,50,46,66,103,110,113,110,146,174,173,167,174,152,166,157,132,122,124,104,113,122,74,24,topic_799,0.06017452
nuget-package,0,0,0,0,6,37,59,52,88,103,118,128,100,140,159,196,212,216,222,231,214,206,58,topic_615,0.04576576
xcode-storyboard,0,0,0,0,0,0,17,64,31,32,43,53,89,94,86,93,55,40,40,22,30,30,11,topic_217,0.034377865
detection,4,16,29,52,52,78,74,93,79,116,101,134,88,107,93,93,81,94,73,74,77,103,43,topic_173,0.33263597
jquery-tools,0,0,11,15,37,78,67,115,67,49,24,13,3,0,3,1,1,1,1,0,0,0,0,topic_671,0.14341085
sql-server-2000,104,156,258,218,251,262,215,225,193,160,128,77,73,59,43,40,26,30,24,16,9,14,3,topic_360,0.22410497
spring-restcontroller,0,0,0,0,0,0,0,0,0,0,1,0,0,32,95,89,131,129,129,125,121,125,34,topic_57,0.11081736
entitymanager,1,8,18,19,25,44,72,86,90,130,94,123,109,102,89,85,78,56,65,76,66,59,17,topic_30,0.20058565
sql-server-2005,547,1353,1663,1926,2185,2194,1716,1615,1086,976,818,539,361,278,281,241,166,104,113,92,60,55,13,topic_138,0.89955455
systemjs,0,0,0,0,0,0,0,0,0,0,0,1,3,33,139,384,363,238,94,46,34,30,5,topic_1131,0.030718336
sql-server-2008,100,401,798,1372,1949,2950,4074,4985,4936,5166,4642,3752,3101,3016,2568,2129,1962,1653,1310,1050,744,476,100,topic_1071,0.46439946
read.table,0,0,2,1,1,1,6,6,15,39,39,51,30,40,43,37,24,29,25,35,20,24,3,topic_1068,0.04089513
jdo,0,12,50,87,96,104,108,108,111,102,61,73,61,54,24,20,10,18,17,13,6,9,2,topic_1014,0.2836897
byte-buddy,0,0,0,0,0,0,0,0,0,0,0,2,6,12,24,38,48,57,55,46,33,59,19,topic_1112,0.021088693
javascriptserializer,0,3,3,10,12,27,18,30,34,34,29,24,16,20,22,25,13,13,12,18,7,9,7,topic_833,0.09699593
setter,5,26,44,44,47,52,72,77,73,101,87,105,100,74,76,94,76,83,48,42,51,60,13,topic_83,0.11250389
repeater,24,80,94,106,100,174,230,200,193,221,230,175,134,103,106,91,63,79,92,54,82,40,6,topic_629,0.30695003
react-table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,80,118,124,58,topic_447,0.07162791
applicative,0,0,0,2,2,7,17,12,24,15,19,24,31,49,25,32,34,24,24,25,30,30,11,topic_771,0.08306095
unity5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,191,662,735,863,600,188,0,0,0,topic_657,0.3469846
archlinux,0,0,2,2,7,11,26,47,36,46,62,72,68,72,81,103,75,103,82,85,83,73,25,topic_227,0.18133335
lifetime,1,4,4,13,13,17,13,19,23,18,10,28,66,87,85,78,75,101,71,97,97,105,30,topic_314,0.05961167
android-4.0-ice-cream-sandwich,0,0,0,0,0,1,125,552,323,124,48,24,12,25,9,11,3,2,0,1,1,0,0,topic_1156,0.11003066
ibm-mobilefirst,0,0,0,0,0,0,0,5,53,475,725,799,739,729,692,554,469,306,180,105,87,65,22,topic_989,0.32341528
python-module,3,8,5,15,18,26,40,53,41,68,78,51,41,61,68,81,82,108,92,90,82,85,40,topic_287,0.10934447
parseint,0,2,3,6,6,13,29,28,38,43,46,40,57,64,47,33,29,41,20,28,16,25,7,topic_186,0.15323383
generics,345,663,901,1101,1220,1561,1582,1716,1873,2010,2132,2204,2147,2363,2336,2349,1983,2100,1958,1867,1739,1721,502,topic_815,0.9183341
stdmap,9,14,12,20,27,27,31,42,41,54,46,46,40,57,45,65,80,80,62,79,86,60,15,topic_930,0.10152334
python-3.x,28,62,107,164,239,418,568,894,1335,2199,3057,3390,3565,4930,6012,8684,10238,14435,18218,23599,29613,35006,13695,topic_697,0.9768999
posixct,0,0,3,2,1,2,8,11,25,39,29,43,45,42,57,54,50,46,58,71,51,63,20,topic_1126,0.05257353
jsf-2.2,0,0,0,0,0,0,0,1,0,27,176,301,246,330,263,211,132,165,105,86,69,69,14,topic_422,0.10835148
jersey-2.0,0,0,0,0,0,0,0,0,0,9,105,180,202,236,251,266,194,184,149,128,117,102,30,topic_197,0.32818946
retrofit2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,26,640,703,832,786,693,815,701,259,topic_1148,0.37542167
sync,2,15,30,32,59,123,137,156,205,207,184,231,180,199,96,0,0,0,0,0,0,0,0,topic_1410,0.3660997
quickblox,0,0,0,0,0,0,0,0,10,68,115,136,163,183,216,221,108,112,71,40,44,31,11,topic_1263,0.201321
android-livedata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,108,194,327,395,149,topic_878,0.21963488
signalr,0,0,0,0,0,0,45,209,393,541,520,647,488,559,505,521,483,437,373,338,411,512,166,topic_364,0.4721708
braintree,0,1,2,1,5,8,6,4,6,21,29,34,74,141,144,173,163,115,104,86,95,79,36,topic_1314,0.006484779
signals,18,41,76,129,170,266,235,298,314,385,378,362,369,364,290,328,301,300,271,268,240,278,84,topic_37,0.45725173
google-home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,73,123,115,106,98,25,topic_1410,0.10917722
node-redis,0,0,0,0,0,0,0,6,14,26,37,48,38,30,44,25,43,28,35,31,44,27,6,topic_817,0.035872754
telephony,8,12,19,21,31,52,62,66,50,42,44,44,33,42,33,39,37,28,21,31,27,21,7,topic_732,0.03855847
consul,0,0,0,0,0,0,0,0,0,0,0,1,10,24,59,82,113,95,98,75,82,116,40,topic_83,0.06150732
shell-exec,2,3,3,13,13,26,28,61,71,69,69,54,39,68,59,52,45,66,34,46,36,33,16,topic_1189,0.061188456
parameters,79,248,323,467,426,620,707,819,1006,1184,1072,1062,1005,1015,903,948,880,958,800,775,767,766,274,topic_900,0.7445678
macos-sierra,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,15,485,483,363,91,56,26,4,topic_1292,0.015068182
whatsapp,0,0,0,0,0,1,0,9,10,43,61,94,91,150,169,172,149,119,124,130,167,169,79,topic_667,0.34835076
buttonclick,0,4,3,9,11,14,30,47,52,60,69,66,58,49,49,64,44,35,48,39,39,36,9,topic_1017,0.03417607
tls1.2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,109,209,181,211,217,263,299,261,99,topic_900,0.08047028
distance,4,21,23,54,65,113,91,115,171,208,183,203,170,179,158,207,186,181,149,153,161,183,63,topic_822,0.41396236
windows-installer,130,201,276,302,339,407,387,440,380,436,406,404,429,392,324,328,275,310,314,371,308,241,105,topic_951,0.3545261
show,1,18,37,55,58,118,148,155,207,228,182,175,182,140,116,78,88,84,76,57,64,49,11,topic_252,0.3559712
blogger,4,3,21,26,30,42,60,97,109,140,185,146,137,158,175,131,176,218,156,128,132,148,45,topic_1178,0.73186684
restful-authentication,8,26,29,36,53,97,93,65,34,80,67,79,60,79,86,76,64,68,62,70,64,65,21,topic_10,0.31786704
sfinae,3,5,6,12,21,18,18,48,61,53,40,79,54,76,82,117,92,93,102,82,105,108,38,topic_1329,0.08365311
new-operator,12,49,57,113,120,182,211,199,90,98,105,105,107,78,86,75,70,61,67,66,96,107,39,topic_59,0.07595376
google-sheets-formula,0,0,0,0,1,0,1,8,11,9,11,5,15,20,8,16,24,31,19,33,112,804,452,topic_207,0.2158717
xmlwriter,2,11,12,15,24,25,26,37,32,35,27,29,28,22,17,24,10,15,13,15,11,12,4,topic_876,0.018867116
preg-match,0,8,58,96,158,259,300,354,361,454,430,381,299,365,280,271,216,227,178,145,110,120,30,topic_1157,0.044329405
enumerable,2,7,8,24,14,31,25,30,34,37,51,31,30,26,23,33,19,27,19,9,17,11,7,topic_251,0.07747228
easeljs,0,0,0,0,0,4,4,26,44,109,112,127,67,80,101,91,59,56,30,30,17,21,8,topic_1327,0.1372028
gradle-plugin,0,0,0,0,0,0,0,0,0,0,0,2,9,23,74,102,76,84,110,121,105,142,38,topic_314,0.050017033
java-websocket,0,0,0,0,0,0,0,0,0,0,1,11,14,27,48,59,51,47,50,35,34,31,14,topic_1415,0.075461455
vtable,2,5,15,23,23,37,28,32,22,26,25,28,25,25,28,28,19,19,21,23,19,14,8,topic_923,0.04601803
qtreewidget,2,4,1,9,2,7,18,26,31,20,23,31,25,30,17,29,15,15,25,11,25,28,10,topic_128,0.029885402
nstask,1,0,10,13,27,31,30,37,31,39,25,25,32,24,30,28,8,15,7,8,4,14,3,topic_746,0.075228095
array-push,0,0,1,1,4,7,10,22,15,23,24,16,21,18,18,11,22,17,19,14,15,24,4,topic_485,0.090964034
animated-gif,6,18,14,18,32,39,57,70,69,61,78,80,65,62,81,65,73,63,58,52,34,52,24,topic_574,0.09551114
microsoft-sync-framework,7,14,26,49,35,48,67,53,78,62,61,68,46,55,21,13,19,7,7,4,7,7,3,topic_1268,0.01695909
boolean-logic,4,20,14,32,36,42,34,47,78,81,85,71,80,72,86,92,92,91,87,66,52,58,15,topic_79,0.043533765
worksheet,4,3,10,6,10,13,18,17,40,36,44,55,51,48,57,64,66,61,69,62,83,53,13,topic_1240,0.02573497
guava,0,5,11,73,67,94,152,202,202,209,204,233,242,234,195,186,156,161,126,118,108,98,38,topic_597,0.6706212
custom-wordpress-pages,0,0,0,4,1,2,8,5,3,3,5,7,6,4,6,72,123,120,114,110,151,129,71,topic_54,0.21954641
advanceddatagrid,2,15,23,22,31,58,23,33,20,17,20,14,4,4,6,1,4,2,0,0,1,2,1,topic_1376,0.045151517
sapply,0,0,0,1,3,5,6,4,14,27,39,52,47,62,58,93,65,72,90,76,58,68,10,topic_999,0.16617502
jit,13,33,34,54,60,79,56,86,72,68,83,58,70,63,74,63,62,64,67,73,69,63,27,topic_89,0.15574783
katana,0,0,0,0,0,0,0,0,0,1,50,53,66,53,61,33,22,32,17,9,10,6,3,topic_328,0.5124688
docker-for-windows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,80,86,127,146,132,38,topic_955,0.12558049
angular2-directives,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,297,381,380,322,164,97,70,14,topic_1359,0.4434827
jprogressbar,0,2,0,6,9,14,24,48,34,56,56,47,40,24,23,20,13,15,9,10,10,8,4,topic_83,0.03635939
skaction,0,0,0,0,0,0,0,0,0,0,29,72,80,119,70,67,45,54,41,18,22,15,2,topic_570,0.14685968
canvas,25,91,142,270,541,987,1084,1337,1448,1987,2101,2517,1829,2193,2184,2171,1855,1826,1624,1202,1161,1215,311,topic_1082,0.98468786
watermark,6,13,26,29,30,44,45,79,66,63,46,52,44,57,50,51,51,41,29,36,43,47,12,topic_309,0.28088236
implicit-conversion,3,3,4,23,34,67,61,65,95,100,114,102,113,114,121,79,105,76,81,66,71,77,32,topic_753,0.025055949
nested-forms,2,7,12,48,66,107,139,132,121,172,140,150,113,107,131,116,90,72,52,57,24,30,4,topic_387,0.41372505
tibco,6,9,6,12,14,24,19,13,29,42,50,60,52,36,54,57,53,50,41,41,45,61,20,topic_100,0.15350194
angularjs-factory,0,0,0,0,0,0,0,0,0,7,22,58,54,75,98,52,30,17,12,10,8,2,0,topic_418,0.009145898
xunit,4,3,8,9,16,17,15,23,26,42,30,47,28,58,93,124,97,146,131,145,189,240,106,topic_321,0.1506007
reset,5,15,32,32,47,98,94,108,115,155,144,146,107,134,110,108,78,99,74,80,71,86,19,topic_550,0.3418564
object-detection-api,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,106,139,232,57,topic_1445,0.014302653
ng-bootstrap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,192,214,197,217,189,61,topic_236,0.04867348
stackexchange.redis,0,0,0,0,0,0,0,0,0,0,0,25,65,87,69,73,61,65,54,38,67,60,30,topic_955,0.13332044
rubymotion,0,0,0,0,0,0,0,46,114,90,116,112,69,39,36,21,16,6,2,3,2,3,0,topic_1216,0.058291283
shortest-path,2,8,11,21,18,42,39,71,70,76,73,85,78,110,86,101,99,107,74,69,72,89,27,topic_1198,0.0448528
win-universal-app,0,0,0,0,0,0,1,0,1,0,0,143,337,543,1134,2327,383,249,122,99,49,53,16,topic_817,0.4100173
vertica,0,0,1,5,0,7,8,14,34,35,37,44,64,72,85,73,119,93,104,88,71,83,25,topic_722,0.22839236
apache-commons,3,9,34,51,64,99,67,105,103,122,115,90,72,88,75,80,71,74,73,61,56,58,21,topic_1062,0.23917961
parallel-processing,41,79,142,239,355,509,562,725,713,846,850,980,822,952,1038,1002,942,996,955,937,890,957,290,topic_61,0.61602277
guard,0,0,2,8,8,9,35,65,62,84,93,68,49,26,35,33,30,27,22,26,31,35,12,topic_1401,0.076782264
visual-studio-lightswitch,0,0,0,0,20,31,104,74,151,121,87,92,99,102,64,64,22,29,5,3,13,3,1,topic_813,0.073800735
django-tables2,0,0,0,0,0,2,2,14,17,30,34,32,30,22,21,31,31,23,37,49,40,55,15,topic_396,0.0088417325
lwjgl,2,0,3,11,7,34,84,175,165,304,304,321,247,246,220,159,106,131,118,80,101,103,25,topic_1416,0.15839931
controltemplate,3,26,65,72,60,67,69,80,86,67,69,51,39,44,37,30,21,32,27,25,37,22,4,topic_853,0.07810957
python-3.3,0,0,0,0,0,0,1,2,32,212,322,291,79,63,42,37,24,5,15,4,5,12,3,topic_940,0.047382373
lapply,0,0,1,5,7,13,13,28,28,61,80,98,125,151,161,179,204,224,225,264,257,245,80,topic_795,0.5136612
dynamics-365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,92,91,167,167,57,topic_823,0.059105903
tensorflow-datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,90,221,247,277,90,topic_1492,0.24693006
android-room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,358,592,723,751,301,topic_968,0.07774792
sendmail,8,19,36,48,70,108,133,192,196,208,161,225,195,196,181,139,90,118,87,86,95,81,34,topic_367,0.36475354
python-3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,33,374,1067,500,topic_676,0.10696288
python-3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,38,571,918,968,868,838,280,topic_642,0.28645435
python-3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6,194,511,807,592,418,331,220,188,65,topic_633,0.37180203
licensing,56,115,173,158,173,155,161,147,155,114,63,72,62,54,94,59,68,41,12,13,17,13,14,topic_284,0.27555555
architecture,255,476,553,713,746,917,809,866,679,696,652,690,584,648,614,625,527,524,524,492,604,668,201,topic_486,0.6414199
python-3.4,0,0,0,0,0,0,0,0,0,0,3,130,360,528,516,370,253,164,103,61,61,40,4,topic_358,0.44528562
android-pendingintent,0,0,0,7,19,46,54,71,92,98,101,119,111,138,116,113,104,86,77,86,63,49,19,topic_310,0.21941638
ipod-touch,9,24,44,60,58,66,50,38,39,25,22,9,7,6,10,2,4,3,1,1,0,0,0,topic_36,0.05773221
acrobat,10,17,27,33,34,47,44,61,65,41,68,65,69,98,53,67,89,88,78,61,70,77,32,topic_167,0.25749102
xacml,1,3,1,1,1,3,10,9,4,14,17,46,33,18,36,38,12,25,19,26,17,27,6,topic_1156,0.03171266
html-entities,6,17,20,43,63,88,85,99,98,95,86,65,67,66,66,59,41,38,38,33,24,26,11,topic_243,0.5484159
fbml,1,10,23,79,130,140,96,55,14,10,8,1,1,2,1,1,1,1,0,0,0,1,0,topic_508,0.060126584
tf-idf,1,1,4,10,11,19,8,17,18,28,25,50,37,50,53,73,82,95,95,80,83,106,36,topic_1469,0.06320761
google-drive-android-api,0,0,0,1,0,0,0,0,0,0,1,87,57,100,92,92,89,86,57,54,57,35,7,topic_241,0.013532252
playframework,0,0,4,8,84,343,876,1179,918,1061,1221,1375,1201,1300,1305,1432,1031,823,743,573,461,392,132,topic_825,0.7787715
silverlight-5.0,0,0,1,0,3,29,62,219,309,242,165,174,91,40,37,28,13,6,2,3,7,2,0,topic_395,0.10348576
android-gps,0,0,0,1,1,2,1,0,0,0,0,0,0,2,7,74,102,104,57,68,57,66,26,topic_600,0.20200934
spring-data-rest,0,0,0,0,0,0,0,3,6,11,29,88,137,175,189,182,207,228,165,138,143,132,29,topic_701,0.06610188
wrapper,6,30,72,108,106,160,169,152,165,216,196,207,170,161,145,144,134,118,117,121,120,113,45,topic_1213,0.17069946
polling,3,26,22,43,40,62,54,46,78,85,79,76,71,63,48,47,53,59,53,50,64,53,17,topic_447,0.2208372
cloud,24,65,83,112,140,205,217,288,334,328,331,357,366,420,344,341,328,359,329,397,448,492,139,topic_1333,0.15636303
innerhtml,4,14,31,55,54,88,119,145,117,175,117,150,143,136,128,103,100,111,115,111,95,96,37,topic_406,0.3184016
tflearn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,108,119,63,51,27,11,topic_1254,0.06934368
sticky-footer,2,3,9,15,19,38,51,60,67,76,68,57,35,28,33,23,25,32,19,15,9,6,6,topic_869,0.025707802
jms,31,64,101,140,187,245,317,359,390,453,410,448,446,431,415,382,331,356,283,278,273,291,98,topic_507,0.48440313
jmx,20,45,42,48,62,114,98,134,138,138,120,124,135,109,105,124,87,90,89,94,83,118,36,topic_1062,0.32393304
ldap,61,124,159,202,232,368,394,410,430,487,565,607,529,604,563,597,547,570,507,469,534,534,198,topic_1455,0.5437907
atom-editor,0,0,0,0,0,0,0,0,1,0,0,43,87,135,261,366,369,379,305,299,315,256,89,topic_287,0.2575946
jna,2,10,29,30,28,80,67,96,80,121,99,99,86,116,120,125,95,81,61,67,90,71,31,topic_1375,0.21509096
parsley.js,0,0,0,0,0,0,0,0,0,22,57,119,93,72,53,53,62,60,35,32,27,19,8,topic_1185,0.18349338
postgis,3,8,21,32,45,63,88,118,157,160,172,187,178,187,210,237,181,236,185,178,218,240,82,topic_161,0.57836366
actionbarsherlock,0,0,0,0,0,0,17,352,807,950,669,292,115,54,24,13,6,4,2,2,3,3,0,topic_1294,0.048002552
adal,0,0,0,0,0,0,0,0,0,0,0,6,32,109,90,162,168,218,160,124,151,149,36,topic_785,0.059818834
h5py,0,0,0,2,0,4,5,3,13,18,17,35,29,47,49,58,56,64,85,59,74,82,32,topic_270,0.062158003
jquery-hover,0,0,0,0,4,35,38,34,59,83,76,63,39,36,18,14,21,25,11,9,9,11,0,topic_1327,0.08111888
prepared-statement,19,46,79,84,96,191,200,280,311,387,350,375,346,317,347,314,262,262,247,273,229,222,67,topic_595,0.1474607
reverse-proxy,14,20,24,21,41,49,61,102,104,113,123,135,145,151,205,221,222,282,259,252,346,382,126,topic_1349,0.03842234
azure-api-management,0,0,0,0,0,0,0,0,0,1,0,1,14,20,23,67,42,78,83,96,153,176,73,topic_192,0.02299558
joi,0,0,0,0,0,0,0,0,0,0,0,0,4,17,16,21,19,31,32,38,82,101,37,topic_218,0.09180098
paypal-sandbox,0,0,5,11,9,39,60,81,112,314,257,193,170,201,249,265,194,176,172,114,138,153,60,topic_1238,0.12348659
nsurlconnection,1,18,61,130,119,191,219,343,334,304,277,283,185,177,165,140,62,40,25,11,16,10,3,topic_758,0.10815794
meteor-blaze,0,0,0,0,0,0,0,1,0,1,0,69,117,173,248,262,194,194,133,59,36,22,11,topic_53,0.115666516
qlabel,0,0,0,1,0,9,14,25,16,19,32,38,23,26,29,28,14,35,39,50,46,39,11,topic_67,0.07242299
highlight,4,17,26,51,54,93,89,146,143,180,155,150,126,116,118,141,106,127,86,83,122,106,27,topic_525,0.16344972
arduino-ide,0,0,0,0,0,0,0,0,0,15,49,68,35,46,46,53,64,76,50,62,51,109,36,topic_322,0.28362134
zend-framework,74,380,893,1201,1754,2239,2101,2413,1930,1411,1257,1026,732,683,521,388,403,334,216,144,188,165,43,topic_614,0.33055866
barcode-scanner,0,2,11,33,38,70,66,104,95,101,127,121,112,93,115,116,100,108,119,127,138,108,30,topic_1253,0.38357526
jpa,76,219,347,721,1019,1163,1307,1698,1706,2228,2289,2633,2577,2638,2630,2420,1988,2231,2242,2017,1913,2385,848,topic_950,0.28740087
requiredfieldvalidator,1,5,12,19,15,36,27,44,36,43,43,35,27,19,19,24,13,18,12,12,13,10,2,topic_1303,0.02077922
rest,159,335,515,711,947,1365,1635,2541,2724,3361,3689,4364,4456,5126,5269,5464,4944,5185,4716,4533,4456,4469,1542,topic_798,0.57273203
flexdashboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,51,46,43,54,69,36,topic_694,0.03520842
training-data,0,1,3,6,1,3,3,9,6,8,23,45,23,39,46,64,72,93,118,122,110,151,62,topic_87,0.045665633
resx,5,27,33,37,56,49,46,50,60,62,58,51,51,32,38,58,28,38,33,21,41,29,6,topic_876,0.03867545
andengine,0,0,0,0,3,47,183,339,353,339,290,305,133,122,91,30,11,9,4,5,0,6,1,topic_504,0.19106239
facebook-sdk-3.0,0,0,0,0,0,0,0,0,1,1,186,87,49,41,4,6,3,3,0,3,7,2,1,topic_770,0.015553778
puppet,0,0,0,0,6,19,35,67,122,170,263,327,354,397,343,302,273,254,203,172,158,131,35,topic_1444,0.1881779
stdclass,1,2,8,6,11,18,14,21,37,37,37,35,30,32,31,26,21,13,22,13,17,15,3,topic_721,0.025783649
inline,5,37,76,79,106,152,160,175,201,227,216,219,167,170,198,162,128,140,118,120,119,105,37,topic_1154,0.22132139
jquery-ui-droppable,2,4,4,5,1,6,45,42,58,60,65,60,52,31,23,35,22,20,20,21,23,12,2,topic_663,0.10890202
c-strings,3,3,7,7,9,11,25,29,40,57,50,65,60,104,94,103,85,110,74,79,81,82,45,topic_366,0.038995966
addclass,1,1,14,24,27,78,76,88,121,150,133,120,97,95,97,76,62,0,0,0,0,0,0,topic_866,0.08024297
css-selectors,23,123,198,293,313,456,507,548,547,734,700,619,569,575,599,583,530,500,481,515,614,660,225,topic_1132,0.33178195
keras-layer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,205,147,157,186,220,87,topic_702,0.1332642
string-comparison,2,12,25,34,35,59,63,68,92,101,139,90,71,88,119,121,105,108,99,78,76,86,36,topic_976,0.04172898
ruby-on-rails-5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112,135,194,44,topic_1036,0.08466819
jql,0,1,0,3,5,0,5,7,11,13,19,22,16,33,26,32,21,31,26,17,20,32,9,topic_728,0.0043160236
apollo-client,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,120,199,236,311,98,topic_180,0.075200915
asterisk,5,10,15,36,35,60,102,121,116,201,215,281,225,228,200,170,195,182,159,158,114,94,37,topic_106,0.2894943
theano,0,0,0,0,0,0,0,1,2,17,18,46,98,154,337,454,445,383,169,101,81,72,23,topic_1460,0.21831435
custom-attributes,3,18,20,38,59,82,95,78,75,87,69,68,47,57,50,49,42,32,27,28,41,17,6,topic_759,0.18297009
ssrs-2008-r2,5,0,0,0,1,1,0,3,22,31,38,161,200,288,242,354,265,228,99,68,77,59,21,topic_1421,0.17707393
built-in,3,5,10,21,22,29,29,42,46,50,58,51,47,56,54,47,55,39,48,46,43,47,17,topic_697,0.0046557453
reactive-cocoa,0,0,0,0,0,0,0,0,3,22,74,126,82,123,133,101,56,50,29,18,15,6,6,topic_409,0.058006085
pygtk,14,35,70,131,171,206,216,168,182,119,126,127,88,97,55,65,47,51,32,28,39,39,6,topic_228,0.55389065
bitmap,25,83,130,222,312,594,685,841,911,1015,1217,1290,1040,1078,940,947,731,653,555,402,365,360,116,topic_1206,0.4881389
ms-access-2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,71,133,129,170,183,150,47,topic_282,0.038419597
adfs,1,5,2,4,5,25,25,28,43,50,75,80,100,101,113,136,127,149,127,117,135,141,53,topic_1310,0.1831301
cluster-computing,29,61,70,106,104,150,183,191,197,226,210,268,246,287,264,293,276,290,239,239,252,263,95,topic_393,0.449534
ms-access-2013,0,0,0,0,0,0,0,0,0,32,101,179,182,258,293,246,220,177,140,100,89,68,13,topic_1458,0.089890055
ebean,0,0,0,0,1,0,2,49,106,107,91,143,97,96,109,63,51,48,28,24,39,19,6,topic_690,0.45316455
flashdevelop,6,12,16,34,24,32,46,56,63,90,65,98,50,44,41,18,27,16,10,6,4,9,4,topic_590,0.07080137
core-data-migration,0,0,4,7,7,30,30,47,44,41,32,48,33,30,40,24,22,15,12,13,13,22,2,topic_1247,0.04535369
